eval,foo,bar
0.9267434489,0.498228782,0.4672113047
0.8144308443,0.9286109314,0.761210886
0.6408656303,0.9831503737,0.693079237
0.8984104954,0.4888283452,0.7536997299
0.3577884556,0.5280321654,0.663379329
0.9460847292,0.9603608658,0.3285333926
0.1701787507,0.9648363905,0.04616976275
0.6796691305,0.1894322061,0.1418592327
0.7963231664,0.676603245,0.120350302
0.1584771964,0.218007345,0.3329132352
0.02630103393,0.3141643751,0.7489051708
0.2931975405,0.1707491606,0.7424542881
0.09322494006,0.7871273801,0.003021812116
0.4137803858,0.2289450507,0.8741682144
0.7781349782,0.9105074302,0.3042008099
0.2518279652,0.9763607375,0.5111720105
0.5753095712,0.03017322192,0.8259105453
0.07895714087,0.6297508508,0.911486037
0.5260551386,0.6136853774,0.8844886239
