eval,foo,bar
0.7894145572,0.4083007522,0.1328700357
0.1099673232,0.05224072253,0.9461868396
0.6695503169,0.7581268457,0.7048156263
0.5731338224,0.609416384,0.7443055577
0.970331591,0.7931113338,0.1297903645
0.6751906654,0.6698752861,0.9888432027
0.7626645311,0.1873519337,0.8298916569
0.5005116929,0.8287571561,0.8935419406
0.2599779796,0.6345467533,0.5485788131
0.5620754202,0.2860973384,0.8649822759
0.3442117357,0.5461635799,0.6143396047
0.9439623661,0.02616843771,0.9498066089
0.1216471544,0.3733327429,0.2716103947
0.2678232957,0.2224617284,0.7058531442
0.04337104119,0.2698240028,0.3440375184
0.4424192218,0.3736419347,0.7114091787
0.9582053975,0.8707831902,0.2418448336
0.05060272895,0.5636611718,0.05161419393
0.113126345,0.7235057114,0.9903908935
