eval,foo,bar
0.579255465,0.03800060327,0.1632197255
0.8058115621,0.1430478258,0.7616959548
0.3790583752,0.1682771172,0.5962441212
0.4353635738,0.1982814092,0.7575932143
0.3762405088,0.4739793001,0.1796321181
0.8971728898,0.975211081,0.8594051671
0.951902872,0.0191356985,0.5002354103
0.06838294078,0.004288066703,0.1421560038
0.826574727,0.7405647087,0.6752471445
0.3789142732,0.6429546488,0.5448627474
0.6626621108,0.6936410203,0.9933778097
0.2971281008,0.324363351,0.9905940526
0.7569024412,0.7581428932,0.01563590054
0.7559121837,0.8749884566,0.6981392482
0.7191079711,0.8981391844,0.03542557715
0.7525327461,0.262462553,0.1368139285
0.9525222224,0.313286516,0.4907013376
0.2738739314,0.3451487329,0.2012970652
0.8622305144,0.9492212957,0.2073915901
