eval,foo,bar
0.2383323705,0.1560671963,0.3819972747
0.3304542148,0.5957914138,0.8291066511
0.773975053,0.5641125699,0.2650151997
0.2274191171,0.4468309044,0.7087931921
0.4023491889,0.5594305596,0.7174612779
0.8715878933,0.9479941845,0.8029065223
0.6596620362,0.3102374988,0.7572057359
0.2891434686,0.4112642342,0.887354861
0.5422666702,0.9969272131,0.01123517711
0.8824407503,0.3324162143,0.2011869703
0.4998077652,0.7739058459,0.9997399378
0.9074052861,0.0586459423,0.7175695473
0.8960951862,0.195227707,0.1682497404
0.9686144858,0.7994665431,0.1933487158
0.1162485657,0.4207333756,0.1777165702
0.9126329248,0.7029268253,0.7692124166
0.2435170949,0.5755636484,0.6592709072
0.543953749,0.3963168148,0.3974938055
0.1180225361,0.4039464463,0.4255213704
