eval,foo,bar
0.2759467633,0.9980673265,0.5826764268
0.206692548,0.3846564829,0.03683302805
0.4056094238,0.8018033714,0.2685080392
0.1228247297,0.2379631578,0.9452722942
0.5568329416,0.4989372546,0.6753956917
0.7837055873,0.309584904,0.8501694261
0.08903883578,0.7791520114,0.4029795028
0.2209173479,0.899749281,0.7755550976
0.3123592692,0.5379054091,0.8764312425
0.2162683173,0.4778615494,0.3025057747
0.8554339936,0.5260917018,0.1191305841
0.9859247895,0.5993166502,0.9066392528
0.5772293147,0.4117099669,0.8658111658
0.3104489031,0.005070551825,0.9422589505
0.1416042063,0.1570977657,0.5021010348
0.5994877213,0.9105971985,0.4336872224
0.5946363328,0.3445420971,0.7725930007
0.1824140251,0.3001579053,0.617413172
0.2058968655,0.01954483739,0.8820488197
