eval,foo,bar
0.7481553886,0.3933244747,0.3009414947
0.3800969985,0.6121889274,0.4352898482
0.4924806353,0.8453303373,0.3847133136
0.162779017,0.1413157131,0.5454113533
0.2141428539,0.2212027399,0.4700005612
0.1011091143,0.4760745632,0.03187730303
0.5575814967,0.8634340671,0.3016356945
0.02567064981,0.6941782241,0.05926066762
0.3490039032,0.9317490416,0.5782400412
0.6663819713,0.5114899297,0.005487792541
0.3862927207,0.4767670759,0.1862368487
0.2993365771,0.316281141,0.2921437745
0.1895037266,0.08140587482,0.8081514454
0.9626303218,0.3976659457,0.2887682552
0.2791052538,0.02699164517,0.7174782258
0.4659442034,0.8759981819,0.04219692648
0.0448106561,0.9837693144,0.4436435928
0.3003074169,0.457981775,0.4598155656
0.6353215307,0.5223243845,0.009977356135
