eval,foo,bar
0.4179529514,0.1503511598,0.1238778186
0.01082470714,0.2842491379,0.6577365742
0.2473568724,0.9273057161,0.1829587736
0.5150732173,0.8136291576,0.5421136438
0.1239287614,0.8579810721,0.06114989148
0.2351446624,0.1493838353,0.4118574228
0.7720059357,0.811011318,0.05141299427
0.7806630404,0.574645862,0.4622943348
0.1256736588,0.2558510048,0.426519791
0.1921612365,0.1376135046,0.9850680951
0.890917217,0.7747515604,0.4362990418
0.5131105769,0.4717053408,0.02020457363
0.9409795224,0.1617176865,0.4503341808
0.5809324846,0.5468026923,0.4501375064
0.3813891869,0.7867186406,0.3486394929
0.7750016135,0.6461357865,0.0284461705
0.9657624424,0.8658965455,0.2379145446
0.02374000528,0.1651624099,0.1121215117
0.2589096531,0.8925310015,0.9275773051
